acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,path_x,path_y,path_z,roll,pitch,yaw
-0.022540922699340767,0.027295926038329327,0.024997839027675547,-2.2540922195511884E-4,2.7295925428217835E-4,2.49978384689303E-4,-2.2540921691683012E-6,2.7295924818106358E-6,2.499783791018507E-6,-0.020101238335885827,-0.01715499807578548,-0.29111678939427305
-0.20257895448592025,-0.01847953641950036,-0.07331270774250212,-0.0022511987215343967,8.816389421767302E-5,-4.83148676349051E-4,-2.4766078881330145E-5,3.6112314042812E-6,-2.331702864479858E-6,-0.027345537559075345,-0.023918971065322422,-0.3987048304702413
-0.06496284844175708,0.03991347476224272,-0.043259294071643695,-0.0029008271914316396,4.872986329187434E-4,-9.157416073962822E-4,-5.377435014726114E-5,8.4842176245489E-6,-1.1489118733758481E-5,-0.02920946662327978,-0.02635900737288222,-0.4270722633600343
0.009521613135896936,0.00719691401753026,-0.0017127222391790922,-0.0028056110622009167,5.592677714854104E-4,-9.328688294052499E-4,-8.183046014216736E-5,1.4076895214396918E-5,-2.0817806819298546E-5,-0.02976600357165276,-0.028094597361696883,-0.43397127223437626
0.05720398552324521,-0.04282308676159524,0.01832700684892981,-0.0022335712197545515,1.3103691344116376E-4,-7.49598765012357E-4,-1.041661718404708E-4,1.5387264319519522E-5,-2.8313794301873737E-5,-0.030017748500967622,-0.028482717353327188,-0.4357673061123811
0.12765066751668888,-0.07073477887286482,0.02223543502810266,-9.570645731198104E-4,-5.763108594770293E-4,-5.272444197013374E-4,-1.137368173577483E-4,9.624155853564746E-6,-3.35862383810388E-5,-0.02988439464100008,-0.028590943909927596,-0.43635605034175984
0.05302013141775618,-0.06407665768084728,0.02824960181625719,-4.268632707931714E-4,-0.001217077421963253,-2.447484078530436E-4,-1.1800544997026863E-4,-2.546618094029781E-6,-3.6033722404863704E-5,-0.02935611649685256,-0.028259151332384755,-0.43686328650118794
0.031551696826971266,0.007909701647531069,0.017450527068117692,-1.1134630957581254E-4,-0.0011379804072558983,-7.02431410723634E-5,-1.1911891304113892E-4,-1.3926421912230322E-5,-3.6736153799886775E-5,-0.029288957928832442,-0.027834541747219887,-0.43977106345179323
-0.09166811632531105,0.01370590257145854,-0.012008486060199034,-0.0010280274523395024,-0.0010009213846048207,-1.9032799899024796E-4,-1.293991873347519E-4,-2.3935635534555165E-5,-3.863943374724763E-5,-0.029293132192600484,-0.02757629653680957,-0.4402416228319129
-0.09612420562893503,0.05997172250882259,-0.03884798837829272,-0.0019892694871434186,-4.0120417292131936E-4,-5.788078740899731E-4,-1.492918817615497E-4,-2.7947677174092237E-5,-4.442751235877372E-5,-0.029359942778945172,-0.027942850419046046,-0.4405210843812811
-0.15052897186114378,0.04947156739474892,-0.054752804487326,-0.0034945591721090093,9.351148996841285E-5,-0.0011263359067250275,-1.8423747270154494E-4,-2.7012562295309555E-5,-5.56908711742683E-5,-0.029515223507587493,-0.02826639134448775,-0.44255658603043346
-0.11940773697618977,-0.0239316713954317,-0.037645349419884344,-0.0046886365151811975,-1.4580521863675875E-4,-0.0015027893925094796,-2.3112383680536498E-4,-2.8470614449087138E-5,-7.071876476346349E-5,-0.0295045985023489,-0.028682243408721938,-0.4432638219997926
-3.931900883560305E-4,-0.025457772086375178,-0.017820753433765903,-0.004692568415976873,-4.0038293381025505E-4,-0.0016809969228638898,-2.780495199162629E-4,-3.247444369769713E-5,-8.75287336163703E-5,-0.029286060866712052,-0.028825923753865328,-0.4426943868825601
0.11127109610256976,-0.037627232960119994,-0.019965833191333104,-0.0035798574798222033,-7.76655255001113E-4,-0.0018806552503145093,-3.1384809391432443E-4,-4.024099607411228E-5,-1.0633528569915619E-4,-0.02918979227121306,-0.02894364205440408,-0.44116984029894357
0.1501132808135431,-0.014555360113667625,-0.035693963222343916,-0.002078724705239705,-9.222088528844127E-4,-0.002237594874559726,-3.346353405020903E-4,-4.946308439682666E-5,-1.2871123394461202E-4,-0.028936317207794496,-0.028915463259460192,-0.44010706545660244
0.030071814069156166,-0.050403875549505275,-7.940911522211494E-4,-0.0017780065712697175,-0.0014262475971133213,-0.0022455357859044443,-3.52415405817372E-4,-6.372556004916869E-5,-1.511665913017401E-4,-0.02853276432816096,-0.028841569071107007,-0.4392196739102993
0.03306316652129697,-0.03537592930221953,0.04205384932893384,-0.0014473749134469413,-0.0017800068822283802,-0.0018249973020148737,-3.6688915462832795E-4,-8.152562847358995E-5,-1.6941656391397016E-4,-0.02833050179631521,-0.028236246479140747,-0.43876079659233685
