src1_x,src1_y,src1_z,src2_x,src2_y,src2_z,rlt_x,rlt_y,rlt_z
-0.249238,-0.135904,-0.0258503,-0.27882,-0.13084,-0.0193339,-0.266203,-0.13501,-0.0245321
-0.254154,-0.140458,-0.0249592,-0.278831,-0.131073,-0.0194565,-0.265973,-0.135347,-0.0246607
-0.264597,-0.138048,-0.0228309,-0.278938,-0.131497,-0.019483,-0.26605,-0.135817,-0.0246502
-0.244881,-0.14229,-0.0238795,-0.279098,-0.13206,-0.0194991,-0.265783,-0.136498,-0.0246504
-0.234963,-0.150226,-0.0258188,-0.279344,-0.132698,-0.0195576,-0.265408,-0.137397,-0.0247312
-0.251344,-0.155171,-0.026328,-0.279578,-0.133282,-0.0196269,-0.265356,-0.138325,-0.0248311
-0.272945,-0.154201,-0.033478,-0.279855,-0.133728,-0.0196002,-0.26578,-0.13908,-0.0249778
-0.264248,-0.151373,-0.0359868,-0.28009,-0.13396,-0.0194777,-0.265979,-0.139554,-0.0250779
-0.288762,-0.146224,-0.0397883,-0.28024,-0.133948,-0.0193019,-0.266581,-0.139675,-0.0251999
-0.278968,-0.147554,-0.0375118,-0.28024,-0.133744,-0.0191261,-0.266829,-0.139632,-0.0252738
-0.2724,-0.145634,-0.0353473,-0.280155,-0.13338,-0.0190782,-0.266857,-0.139396,-0.0254284
-0.28381,-0.143478,-0.0272861,-0.280027,-0.132899,-0.0192326,-0.267071,-0.139006,-0.0256168
-0.251154,-0.136012,-0.0267012,-0.279889,-0.132396,-0.0195575,-0.266617,-0.138454,-0.0259569
-0.246552,-0.13566,-0.0239367,-0.279783,-0.131905,-0.0200421,-0.266112,-0.137916,-0.0263914
-0.236214,-0.132282,-0.0225863,-0.279687,-0.131434,-0.02058,-0.26542,-0.137342,-0.0268424
-0.251261,-0.128415,-0.0266109,-0.279666,-0.131028,-0.0209155,-0.265117,-0.136765,-0.0271666
-0.278931,-0.126656,-0.0316918,-0.279709,-0.130696,-0.0208783,-0.265435,-0.136238,-0.0272206
-0.292067,-0.129467,-0.0310317,-0.279763,-0.130492,-0.020596,-0.26602,-0.135903,-0.0270202
-0.258201,-0.129949,-0.028163,-0.279816,-0.130415,-0.0202498,-0.265916,-0.135709,-0.0267038
-0.281329,-0.136635,-0.0274207,-0.279891,-0.130552,-0.0199994,-0.266298,-0.135861,-0.0264727
-0.263072,-0.134792,-0.0304331,-0.279966,-0.130817,-0.0198982,-0.266307,-0.136099,-0.0264528
-0.282212,-0.138146,-0.0283578,-0.28003,-0.131166,-0.0198289,-0.266688,-0.136483,-0.026423
-0.275337,-0.140501,-0.0328959,-0.280084,-0.131378,-0.0196745,-0.266913,-0.13677,-0.0264011
-0.280662,-0.139578,-0.0326598,-0.280095,-0.131451,-0.0194669,-0.267199,-0.136898,-0.0263228
-0.250868,-0.141685,-0.0280095,-0.280095,-0.131481,-0.0191952,-0.266873,-0.137023,-0.0260904
-0.25132,-0.136099,-0.0323134,-0.280053,-0.131554,-0.0189981,-0.26652,-0.137076,-0.0260216
-0.288692,-0.136427,-0.0295809,-0.280053,-0.131637,-0.018833,-0.266964,-0.137145,-0.025931
-0.265277,-0.139986,-0.0241403,-0.280011,-0.131774,-0.0186786,-0.266889,-0.137336,-0.0257439
-0.266036,-0.135451,-0.0241876,-0.280011,-0.131911,-0.0185454,-0.266872,-0.137432,-0.0255822
-0.26005,-0.13684,-0.023401,-0.280043,-0.13209,-0.018327,-0.266767,-0.137596,-0.0253246
-0.295384,-0.13783,-0.0258061,-0.280065,-0.132397,-0.0180873,-0.267361,-0.137902,-0.0250993
-0.234598,-0.140693,-0.0259836,-0.280108,-0.132822,-0.0178902,-0.266748,-0.138374,-0.0249238
-0.263512,-0.142653,-0.029393,-0.280119,-0.133236,-0.0178102,-0.266694,-0.138865,-0.0249348
-0.267071,-0.14328,-0.0312809,-0.280077,-0.133511,-0.0178581,-0.26666,-0.139223,-0.0251087
-0.254259,-0.142328,-0.0315122,-0.280024,-0.133584,-0.0178635,-0.26636,-0.139356,-0.025242
-0.241296,-0.140168,-0.0317687,-0.279981,-0.133412,-0.0176877,-0.265817,-0.139204,-0.0252002
-0.254074,-0.144052,-0.0288793,-0.27995,-0.13309,-0.0173733,-0.265551,-0.138986,-0.0249658
-0.268252,-0.143229,-0.0246217,-0.279929,-0.132599,-0.0170271,-0.265585,-0.138589,-0.0246196
-0.239948,-0.143526,-0.0248725,-0.279918,-0.132096,-0.0167767,-0.265062,-0.138195,-0.0243793
-0.241887,-0.139814,-0.0222727,-0.279919,-0.131818,-0.0165691,-0.264599,-0.137955,-0.0241336
-0.249542,-0.137311,-0.0234411,-0.27994,-0.131816,-0.0164786,-0.264319,-0.13794,-0.0240311
-0.247642,-0.137897,-0.0236628,-0.279983,-0.131995,-0.0165265,-0.264027,-0.138115,-0.0240707
-0.256036,-0.144234,-0.0262165,-0.280015,-0.132228,-0.0165958,-0.263899,-0.138466,-0.0241815
-0.230529,-0.14541,-0.0285658,-0.280048,-0.13245,-0.0166223,-0.263263,-0.138822,-0.0242952
